[INFO](2023-03-08 10:12:09,946): __init__:27 - Loading odds data...
[ERROR](2023-03-08 10:12:45,910): __init__:115 - Error getting player team id for Murray Dejounte: player_id must be a string
[ERROR](2023-03-08 10:12:46,929): __init__:115 - Error getting player team id for Murray Dejounte: player_id must be a string
[ERROR](2023-03-08 10:14:17,494): __init__:115 - Error getting player team id for Alfred Joel Horford Reynoso: player_id must be a string
[ERROR](2023-03-08 10:14:18,502): __init__:115 - Error getting player team id for Alfred Joel Horford Reynoso: player_id must be a string
[ERROR](2023-03-08 10:14:24,009): __init__:115 - Error getting player team id for Grant Jerami: player_id must be a string
[ERROR](2023-03-08 10:14:25,021): __init__:115 - Error getting player team id for Grant Jerami: player_id must be a string
[ERROR](2023-03-08 10:15:21,027): __init__:115 - Error getting player team id for Jimmy Butler III: player_id must be a string
[ERROR](2023-03-08 10:15:22,032): __init__:115 - Error getting player team id for Jimmy Butler III: player_id must be a string
[ERROR](2023-03-08 10:16:52,710): __init__:115 - Error getting player team id for Christian James McCollum: player_id must be a string
[ERROR](2023-03-08 10:16:53,717): __init__:115 - Error getting player team id for Christian James McCollum: player_id must be a string
[ERROR](2023-03-08 10:18:34,558): __init__:115 - Error getting player team id for K. Caldwell-Pope: player_id must be a string
[ERROR](2023-03-08 10:18:35,574): __init__:115 - Error getting player team id for K. Caldwell-Pope: player_id must be a string
[ERROR](2023-03-08 10:18:46,180): __init__:115 - Error getting player team id for Caldwell Pope Kentavious: player_id must be a string
[ERROR](2023-03-08 10:18:47,185): __init__:115 - Error getting player team id for Caldwell Pope Kentavious: player_id must be a string
[ERROR](2023-03-08 10:19:24,295): __init__:115 - Error getting player team id for Durant Kevin: player_id must be a string
[ERROR](2023-03-08 10:19:25,300): __init__:115 - Error getting player team id for Durant Kevin: player_id must be a string
[ERROR](2023-03-08 10:19:31,744): __init__:115 - Error getting player team id for OG Anunoby: player_id must be a string
[ERROR](2023-03-08 10:19:32,750): __init__:115 - Error getting player team id for OG Anunoby: player_id must be a string
[ERROR](2023-03-08 10:19:57,227): __init__:115 - Error getting player team id for OG Anunoby: player_id must be a string
[ERROR](2023-03-08 10:19:58,232): __init__:115 - Error getting player team id for OG Anunoby: player_id must be a string
[ERROR](2023-03-08 10:20:03,889): __init__:115 - Error getting player team id for OG Anunoby: player_id must be a string
[ERROR](2023-03-08 10:20:04,901): __init__:115 - Error getting player team id for OG Anunoby: player_id must be a string
[ERROR](2023-03-08 10:20:19,732): __init__:115 - Error getting player team id for OG Anunoby Jr.: player_id must be a string
[ERROR](2023-03-08 10:20:20,748): __init__:115 - Error getting player team id for OG Anunoby Jr.: player_id must be a string
[ERROR](2023-03-08 10:20:29,743): __init__:115 - Error getting player team id for Westbrook Russell: player_id must be a string
[ERROR](2023-03-08 10:20:30,747): __init__:115 - Error getting player team id for Westbrook Russell: player_id must be a string
[ERROR](2023-03-08 10:20:36,449): __init__:115 - Error getting player team id for OG Anunoby: player_id must be a string
[ERROR](2023-03-08 10:20:37,464): __init__:115 - Error getting player team id for OG Anunoby: player_id must be a string
[ERROR](2023-03-08 10:21:00,846): __init__:115 - Error getting player team id for Og Anunoby: player_id must be a string
[ERROR](2023-03-08 10:21:01,865): __init__:115 - Error getting player team id for Og Anunoby: player_id must be a string
[INFO](2023-03-08 10:21:06,329): __init__:38 - Preparing export folders...
[INFO](2023-03-08 10:21:06,329): __init__:45 - Saving odds data to export folders...
